"","comparison","condition","trait","diff","lwr","upr","adj.p.value","exp"
"1","ECA1059-CB4856","abamectin","mean.TOF",-46.9640652324224,-57.540227775641,-36.3879026892037,6.79234446465671e-13,"NILpruned"
"2","ECA1065-CB4856","abamectin","mean.TOF",-81.2512141130944,-91.890143750644,-70.6122844755448,6.79234446465671e-13,"NILpruned"
"3","ECA1066-CB4856","abamectin","mean.TOF",-50.6783776122472,-61.3827407458124,-39.974014478682,6.79234446465671e-13,"NILpruned"
"4","ECA232-CB4856","abamectin","mean.TOF",-106.909403804214,-117.548333441764,-96.2704741666646,6.79234446465671e-13,"NILpruned"
"5","ECA377-CB4856","abamectin","mean.TOF",-97.7090168207464,-108.413379954312,-87.0046536871812,6.79234446465671e-13,"NILpruned"
"6","N2-CB4856","abamectin","mean.TOF",-107.076368371767,-117.715298009317,-96.4374387342175,6.79234446465671e-13,"NILpruned"
"7","ECA1065-ECA1059","abamectin","mean.TOF",-34.287148880672,-44.9260785182217,-23.6482192431224,7.45292716430868e-13,"NILpruned"
"8","ECA1066-ECA1059","abamectin","mean.TOF",-3.71431237982484,-14.41867551339,6.99005075374036,0.946653165971968,"NILpruned"
"9","ECA232-ECA1059","abamectin","mean.TOF",-59.9453385717919,-70.5842682093415,-49.3064089342422,6.79234446465671e-13,"NILpruned"
"10","ECA377-ECA1059","abamectin","mean.TOF",-50.744951588324,-61.4493147218892,-40.0405884547588,6.79234446465671e-13,"NILpruned"
"11","N2-ECA1059","abamectin","mean.TOF",-60.1123031393447,-70.7512327768943,-49.4733735017951,6.79234446465671e-13,"NILpruned"
"12","ECA1066-ECA1065","abamectin","mean.TOF",30.5728365008472,19.8064536455248,41.3392193561696,7.85371767619836e-13,"NILpruned"
"13","ECA232-ECA1065","abamectin","mean.TOF",-25.6581896911198,-36.3595182780235,-14.9568611042162,1.83613568793817e-10,"NILpruned"
"14","ECA377-ECA1065","abamectin","mean.TOF",-16.457802707652,-27.2241855629744,-5.69141985232961,0.000167593949186862,"NILpruned"
"15","N2-ECA1065","abamectin","mean.TOF",-25.8251542586727,-36.5264828455763,-15.123825671769,1.38096201141025e-10,"NILpruned"
"16","ECA232-ECA1066","abamectin","mean.TOF",-56.231026191967,-66.9974090472894,-45.4646433366446,6.79234446465671e-13,"NILpruned"
"17","ECA377-ECA1066","abamectin","mean.TOF",-47.0306392084992,-57.8616856053105,-36.1995928116879,6.79234446465671e-13,"NILpruned"
"18","N2-ECA1066","abamectin","mean.TOF",-56.3979907595199,-67.1643736148422,-45.6316079041975,6.79234446465671e-13,"NILpruned"
"19","ECA377-ECA232","abamectin","mean.TOF",9.20038698346782,-1.56599587185456,19.9667698387902,0.149975877623763,"NILpruned"
"20","N2-ECA232","abamectin","mean.TOF",-0.166964567552853,-10.8682931544565,10.5343640193508,0.99999999913974,"NILpruned"
"21","N2-ECA377","abamectin","mean.TOF",-9.36735155102067,-20.1337344063431,1.39903130430171,0.134907637904281,"NILpruned"
"22","ECA1059-CB4856","abamectin","mean.EXT",-136.755855870116,-183.362484582596,-90.149227157636,7.49733608529368e-13,"NILpruned"
"23","ECA1065-CB4856","abamectin","mean.EXT",-363.39118390469,-409.99781261717,-316.78455519221,6.79234446465671e-13,"NILpruned"
"24","ECA1066-CB4856","abamectin","mean.EXT",-209.19931752671,-256.092594873785,-162.306040179634,6.79234446465671e-13,"NILpruned"
"25","ECA232-CB4856","abamectin","mean.EXT",-499.792410322891,-545.860071057387,-453.724749588396,6.79234446465671e-13,"NILpruned"
"26","ECA377-CB4856","abamectin","mean.EXT",-406.121626441797,-453.014903788872,-359.228349094722,6.79234446465671e-13,"NILpruned"
"27","N2-CB4856","abamectin","mean.EXT",-505.52713739616,-552.420414743236,-458.633860049085,6.79234446465671e-13,"NILpruned"
"28","ECA1065-ECA1059","abamectin","mean.EXT",-226.635328034574,-273.515311752085,-179.755344317064,6.79234446465671e-13,"NILpruned"
"29","ECA1066-ECA1059","abamectin","mean.EXT",-72.4434616565936,-119.608432702496,-25.2784906106913,0.000152375075686773,"NILpruned"
"30","ECA232-ECA1059","abamectin","mean.EXT",-363.036554452775,-409.380749331526,-316.692359574025,6.79234446465671e-13,"NILpruned"
"31","ECA377-ECA1059","abamectin","mean.EXT",-269.365770571681,-316.530741617584,-222.200799525779,6.79234446465671e-13,"NILpruned"
"32","N2-ECA1059","abamectin","mean.EXT",-368.771281526045,-415.936252571947,-321.606310480142,6.79234446465671e-13,"NILpruned"
"33","ECA1066-ECA1065","abamectin","mean.EXT",154.191866377981,107.026895332078,201.356837423883,7.4318329268408e-13,"NILpruned"
"34","ECA232-ECA1065","abamectin","mean.EXT",-136.401226418201,-182.745421296952,-90.0570315394503,7.47846229387505e-13,"NILpruned"
"35","ECA377-ECA1065","abamectin","mean.EXT",-42.730442537107,-89.8954135830094,4.43452850879537,0.104458194904057,"NILpruned"
"36","N2-ECA1065","abamectin","mean.EXT",-142.13595349147,-189.300924537373,-94.970982445568,7.4495964952348e-13,"NILpruned"
"37","ECA232-ECA1066","abamectin","mean.EXT",-290.593092796182,-337.225549512147,-243.960636080216,6.79234446465671e-13,"NILpruned"
"38","ECA377-ECA1066","abamectin","mean.EXT",-196.922308915088,-244.370555607327,-149.474062222849,6.79900580280446e-13,"NILpruned"
"39","N2-ECA1066","abamectin","mean.EXT",-296.327819869451,-343.77606656169,-248.879573177212,6.79234446465671e-13,"NILpruned"
"40","ECA377-ECA232","abamectin","mean.EXT",93.6707838810942,47.0383271651287,140.30324059706,1.50438722257284e-07,"NILpruned"
"41","N2-ECA232","abamectin","mean.EXT",-5.73472707326914,-52.3671837892347,40.8977296426964,0.999810656659101,"NILpruned"
"42","N2-ECA377","abamectin","mean.EXT",-99.4055109543634,-146.853757646602,-51.9572642621244,3.64912526862327e-08,"NILpruned"
"43","ECA1059-CB4856","abamectin","norm.n",-0.892275925528299,-6.98817452410671,5.20362267305011,0.999480695645107,"NILpruned"
"44","ECA1065-CB4856","abamectin","norm.n",-5.41577757217737,-11.5116761707558,0.680121026401041,0.118578207233105,"NILpruned"
"45","ECA1066-CB4856","abamectin","norm.n",11.707100058882,5.61120146030358,17.8029986574604,6.10914199006274e-07,"NILpruned"
"46","ECA232-CB4856","abamectin","norm.n",-20.6164164923171,-26.7123150908955,-14.5205178937387,7.4584782794318e-13,"NILpruned"
"47","ECA377-CB4856","abamectin","norm.n",-16.0859743113667,-22.1818729099451,-9.99007571278833,2.66431321449545e-12,"NILpruned"
"48","N2-CB4856","abamectin","norm.n",-18.5072584176618,-24.5680416074698,-12.4464752278539,7.4451556031363e-13,"NILpruned"
"49","ECA1065-ECA1059","abamectin","norm.n",-4.52350164664907,-10.5825666838527,1.53556339055461,0.289712004568462,"NILpruned"
"50","ECA1066-ECA1059","abamectin","norm.n",12.5993759844103,6.5403109472066,18.658441021614,4.72922826455502e-08,"NILpruned"
"51","ECA232-ECA1059","abamectin","norm.n",-19.7241405667888,-25.7832056039925,-13.6650755295851,7.4540373873333e-13,"NILpruned"
"52","ECA377-ECA1059","abamectin","norm.n",-15.1936983858384,-21.2527634230421,-9.13463334863475,2.44517739389494e-11,"NILpruned"
"53","N2-ECA1059","abamectin","norm.n",-17.6149824921335,-23.6387174028656,-11.5912475814014,7.52509166090931e-13,"NILpruned"
"54","ECA1066-ECA1065","abamectin","norm.n",17.1228776310593,11.0638125938557,23.181942668263,7.94919685631612e-13,"NILpruned"
"55","ECA232-ECA1065","abamectin","norm.n",-15.2006389201397,-21.2597039573434,-9.14157388293604,2.39448461059055e-11,"NILpruned"
"56","ECA377-ECA1065","abamectin","norm.n",-10.6701967391894,-16.729261776393,-4.61113170198569,6.79726675267833e-06,"NILpruned"
"57","N2-ECA1065","abamectin","norm.n",-13.0914808454845,-19.1152157562166,-7.06774593475237,9.73086677902302e-09,"NILpruned"
"58","ECA232-ECA1066","abamectin","norm.n",-32.3235165511991,-38.3825815884028,-26.2644515139954,6.79234446465671e-13,"NILpruned"
"59","ECA377-ECA1066","abamectin","norm.n",-27.7930743702487,-33.8521394074524,-21.734009333045,6.79234446465671e-13,"NILpruned"
"60","N2-ECA1066","abamectin","norm.n",-30.2143584765438,-36.2380933872759,-24.1906235658117,6.79234446465671e-13,"NILpruned"
"61","ECA377-ECA232","abamectin","norm.n",4.53044218095035,-1.52862285625333,10.589507218154,0.287909244251597,"NILpruned"
"62","N2-ECA232","abamectin","norm.n",2.10915807465525,-3.91457683607684,8.13289298538735,0.944336632703925,"NILpruned"
"63","N2-ECA377","abamectin","norm.n",-2.4212841062951,-8.44501901702719,3.60245080443699,0.89622931586961,"NILpruned"
"64","ECA629-CB4856","abamectin","mean.TOF",-21.23684961407,-33.2804452560484,-9.19325397209168,1.88663133886546e-05,"VC_NIL"
"65","ECA632-CB4856","abamectin","mean.TOF",-18.6045842408339,-30.5157001975341,-6.69346828413375,0.000209368852056024,"VC_NIL"
"66","ECA634-CB4856","abamectin","mean.TOF",-19.3125486948187,-31.356144336797,-7.26895305284031,0.000129388119836316,"VC_NIL"
"67","ECA636-CB4856","abamectin","mean.TOF",-13.1593408451712,-25.0704568018714,-1.24822488847105,0.0212993597570887,"VC_NIL"
"68","N2-CB4856","abamectin","mean.TOF",-42.808927305732,-54.5983154082059,-31.019539203258,4.29656310529936e-14,"VC_NIL"
"69","ECA632-ECA629","abamectin","mean.TOF",2.63226537323612,-8.77448783678959,14.0390185832618,0.984994589655753,"VC_NIL"
"70","ECA634-ECA629","abamectin","mean.TOF",1.92430091925136,-9.62072101437677,13.4693228528795,0.996672208754294,"VC_NIL"
"71","ECA636-ECA629","abamectin","mean.TOF",8.07750876889881,-3.3292444411269,19.4842619789245,0.319772921043752,"VC_NIL"
"72","N2-ECA629","abamectin","mean.TOF",-21.5720776916619,-32.8516613405042,-10.2924940428197,2.83072059348299e-06,"VC_NIL"
"73","ECA634-ECA632","abamectin","mean.TOF",-0.707964453984756,-12.1147176640105,10.698788756041,0.999973266048224,"VC_NIL"
"74","ECA636-ECA632","abamectin","mean.TOF",5.4452433956627,-5.82154435155741,16.7120311428828,0.726497807151703,"VC_NIL"
"75","N2-ECA632","abamectin","mean.TOF",-24.2043430648981,-35.3423632946205,-13.0663228351756,8.47893596445104e-08,"VC_NIL"
"76","ECA636-ECA634","abamectin","mean.TOF",6.15320784964745,-5.25354536037826,17.5599610596732,0.624088282770072,"VC_NIL"
"77","N2-ECA634","abamectin","mean.TOF",-23.4963786109133,-34.7759622597555,-12.216794962071,2.92116951405852e-07,"VC_NIL"
"78","N2-ECA636","abamectin","mean.TOF",-29.6495864605607,-40.7876066902832,-18.5115662308383,7.17789161441829e-11,"VC_NIL"
"79","ECA629-CB4856","abamectin","mean.EXT",-85.4330131033941,-126.470452633193,-44.3955735735947,2.97157535467107e-07,"VC_NIL"
"80","ECA632-CB4856","abamectin","mean.EXT",-89.6867233525675,-131.180595939798,-48.1928507653373,9.96884956805388e-08,"VC_NIL"
"81","ECA634-CB4856","abamectin","mean.EXT",-80.1916024625704,-121.22904199237,-39.154162932771,1.64193211793506e-06,"VC_NIL"
"82","ECA636-CB4856","abamectin","mean.EXT",-53.7651686960161,-94.8026082258154,-12.7277291662167,0.00314853855666186,"VC_NIL"
"83","N2-CB4856","abamectin","mean.EXT",-120.786562177607,-161.824001707406,-79.7491226478075,1.06326059068351e-12,"VC_NIL"
"84","ECA632-ECA629","abamectin","mean.EXT",-4.25371024917346,-43.5534657707759,35.046045272429,0.999584886744916,"VC_NIL"
"85","ECA634-ECA629","abamectin","mean.EXT",5.24141064082369,-33.5761210289562,44.0589423106036,0.998784545014678,"VC_NIL"
"86","ECA636-ECA629","abamectin","mean.EXT",31.667844407378,-7.1496872624019,70.4853760771579,0.177644537171028,"VC_NIL"
"87","N2-ECA629","abamectin","mean.EXT",-35.3535490742127,-74.1710807439926,3.46398259556716,0.0960937555416114,"VC_NIL"
"88","ECA634-ECA632","abamectin","mean.EXT",9.49512088999715,-29.8046346316053,48.7948764115996,0.981569065754513,"VC_NIL"
"89","ECA636-ECA632","abamectin","mean.EXT",35.9215546565515,-3.37820086505103,75.2213101781539,0.0939338728595688,"VC_NIL"
"90","N2-ECA632","abamectin","mean.EXT",-31.0998388250393,-70.3995943466418,8.1999166965632,0.205165440349103,"VC_NIL"
"91","ECA636-ECA634","abamectin","mean.EXT",26.4264337665543,-12.3910979032256,65.2439654363342,0.364090769943995,"VC_NIL"
"92","N2-ECA634","abamectin","mean.EXT",-40.5949597150364,-79.4124913848163,-1.77742804525653,0.0348185030553865,"VC_NIL"
"93","N2-ECA636","abamectin","mean.EXT",-67.0213934815907,-105.838925151371,-28.2038618118108,2.96842533104025e-05,"VC_NIL"
"94","ECA629-CB4856","abamectin","norm.n",-23.2297776720092,-31.6212765608721,-14.8382787831463,1.21355148152702e-11,"VC_NIL"
"95","ECA632-CB4856","abamectin","norm.n",-20.7838306184102,-29.2619734572902,-12.3056877795302,1.42459077867585e-09,"VC_NIL"
"96","ECA634-CB4856","abamectin","norm.n",-17.6497002343913,-26.0411991232542,-9.25820134552836,2.06739273811429e-07,"VC_NIL"
"97","ECA636-CB4856","abamectin","norm.n",-23.2867937434491,-31.678292632312,-14.8952948545862,1.09411368853785e-11,"VC_NIL"
"98","N2-CB4856","abamectin","norm.n",-22.3212096043617,-30.7127084932246,-13.9297107154988,6.29617469272148e-11,"VC_NIL"
"99","ECA632-ECA629","abamectin","norm.n",2.44594705359898,-5.48191854633284,10.3738126535308,0.947380304507049,"VC_NIL"
"100","ECA634-ECA629","abamectin","norm.n",5.58007743761789,-2.25506139816016,13.415216273396,0.313951840685548,"VC_NIL"
"101","ECA636-ECA629","abamectin","norm.n",-0.0570160714399126,-7.89215490721797,7.77812276433815,0.999999999399557,"VC_NIL"
"102","N2-ECA629","abamectin","norm.n",0.908568067647495,-6.92657076813056,8.74370690342555,0.999421667418301,"VC_NIL"
"103","ECA634-ECA632","abamectin","norm.n",3.13413038401892,-4.7937352159129,11.0619959839507,0.861450535967668,"VC_NIL"
"104","ECA636-ECA632","abamectin","norm.n",-2.50296312503889,-10.4308287249707,5.42490247489292,0.942144264087321,"VC_NIL"
"105","N2-ECA632","abamectin","norm.n",-1.53737898595149,-9.4652445858833,6.39048661398033,0.993259201671452,"VC_NIL"
"106","ECA636-ECA634","abamectin","norm.n",-5.63709350905781,-13.4722323448359,2.19804532672025,0.302788026362324,"VC_NIL"
"107","N2-ECA634","abamectin","norm.n",-4.6715093699704,-12.5066482057485,3.16362946580766,0.516952676701815,"VC_NIL"
"108","N2-ECA636","abamectin","norm.n",0.965584139087407,-6.86955469669065,8.80072297486547,0.999222487218853,"VC_NIL"
"109","FX3448-CB4856","abamectin","mean.TOF",-42.5293232060483,-52.8339006799069,-32.2247457321897,2.09832151654155e-14,"lgc54del"
"110","FX3518-CB4856","abamectin","mean.TOF",-29.4201653223949,-39.7247427962535,-19.1155878485362,2.23108198582622e-11,"lgc54del"
"111","N2-CB4856","abamectin","mean.TOF",-46.5121948631275,-56.7641827125506,-36.2602070137045,0,"lgc54del"
"112","FX3518-FX3448","abamectin","mean.TOF",13.1091578836534,2.60828510546097,23.6100306618459,0.00772650343334547,"lgc54del"
"113","N2-FX3448","abamectin","mean.TOF",-3.9828716570792,-14.4321427825571,6.46639946839872,0.756758029497134,"lgc54del"
"114","N2-FX3518","abamectin","mean.TOF",-17.0920295407326,-27.5413006662106,-6.64275841525472,0.000200473140980595,"lgc54del"
"115","FX3448-CB4856","abamectin","mean.EXT",-93.6983150138515,-123.426642260047,-63.9699877676556,2.00173211339916e-13,"lgc54del"
"116","FX3518-CB4856","abamectin","mean.EXT",-62.3334282120544,-92.0617554582502,-32.6051009658585,9.69085629631827e-07,"lgc54del"
"117","N2-CB4856","abamectin","mean.EXT",-142.029511403796,-171.757838649992,-112.3011841576,0,"lgc54del"
"118","FX3518-FX3448","abamectin","mean.EXT",31.3648868017971,0.923548720177255,61.806224883417,0.0406817090259175,"lgc54del"
"119","N2-FX3448","abamectin","mean.EXT",-48.3311963899447,-78.7725344715645,-17.8898583083248,0.00033115986049681,"lgc54del"
"120","N2-FX3518","abamectin","mean.EXT",-79.6960831917418,-110.137421273362,-49.2547451101219,8.02092725571413e-10,"lgc54del"
"121","FX3448-CB4856","abamectin","norm.n",-20.7575059048554,-23.6420846854189,-17.872927124292,0,"lgc54del"
"122","FX3518-CB4856","abamectin","norm.n",-19.7731490699483,-22.6577278505118,-16.8885702893848,0,"lgc54del"
"123","N2-CB4856","abamectin","norm.n",-13.9415623386278,-16.8261411191913,-11.0569835580643,0,"lgc54del"
"124","FX3518-FX3448","abamectin","norm.n",0.984356834907137,-1.94192886306712,3.91064253288139,0.819569806741487,"lgc54del"
"125","N2-FX3448","abamectin","norm.n",6.81594356622767,3.88965786825341,9.74222926420193,4.58322481078355e-08,"lgc54del"
"126","N2-FX3518","abamectin","norm.n",5.83158673132053,2.90530103334628,8.75787242929479,3.49072075433998e-06,"lgc54del"
"127","FX3448-CB4856","DMSO","mean.TOF",-38.0185448070834,-45.472168481005,-30.5649211331618,0,"lgc54del"
"128","FX3518-CB4856","DMSO","mean.TOF",-48.0038809245465,-55.457504598468,-40.5502572506249,0,"lgc54del"
"129","N2-CB4856","DMSO","mean.TOF",-10.8951117432224,-18.2393853775558,-3.55083810888898,0.000929876952833975,"lgc54del"
"130","FX3518-FX3448","DMSO","mean.TOF",-9.98533611746305,-17.546728616793,-2.42394361813312,0.00417370849997878,"lgc54del"
"131","N2-FX3448","DMSO","mean.TOF",27.123433063861,19.6698093899394,34.5770567377826,0,"lgc54del"
"132","N2-FX3518","DMSO","mean.TOF",37.108769181324,29.6551455074025,44.5623928552456,0,"lgc54del"
"133","FX3448-CB4856","DMSO","mean.EXT",-178.74084548332,-207.236957754552,-150.244733212087,0,"lgc54del"
"134","FX3518-CB4856","DMSO","mean.EXT",-216.083817132499,-244.579929403731,-187.587704861266,0,"lgc54del"
"135","N2-CB4856","DMSO","mean.EXT",-52.1922218431392,-80.1399822820671,-24.2444614042114,1.53663927763281e-05,"lgc54del"
"136","FX3518-FX3448","DMSO","mean.EXT",-37.3429716491793,-66.2510972823045,-8.43484601605417,0.00535355393755821,"lgc54del"
"137","N2-FX3448","DMSO","mean.EXT",126.54862364018,98.1808844528999,154.916362827461,0,"lgc54del"
"138","N2-FX3518","DMSO","mean.EXT",163.89159528936,135.523856102079,192.25933447664,0,"lgc54del"
"139","FX3448-CB4856","DMSO","norm.n",-2.10295830421617,-17.0837400080014,12.8778233995691,0.983517911854849,"lgc54del"
"140","FX3518-CB4856","DMSO","norm.n",-3.56701940035275,-18.853274184552,11.7192353838465,0.930586410794615,"lgc54del"
"141","N2-CB4856","DMSO","norm.n",-7.0030864197531,-21.9137001419879,7.90752730248167,0.617083156985333,"lgc54del"
"142","FX3518-FX3448","DMSO","norm.n",-1.46406109613658,-16.8187673522076,13.8906451599344,0.994694274344593,"lgc54del"
"143","N2-FX3448","DMSO","norm.n",-4.90012811553693,-19.8809098193222,10.0806535882483,0.83176685849159,"lgc54del"
"144","N2-FX3518","DMSO","norm.n",-3.43606701940035,-18.7223218035996,11.8501877647989,0.93734843568724,"lgc54del"
"145","ECA554-CB4856","abamectin","mean.TOF",-9.60089557104508,-16.8442156412063,-2.35757550088387,0.00406913977864831,"cssV"
"146","ECA573-CB4856","abamectin","mean.TOF",0.675570715764815,-6.5677493543964,7.91889078592603,0.99499406184317,"cssV"
"147","N2-CB4856","abamectin","mean.TOF",-13.8606040510755,-21.1453622171556,-6.57584588499546,1.13993690170622e-05,"cssV"
"148","ECA573-ECA554","abamectin","mean.TOF",10.2764662868099,3.16525432572548,17.3876782478943,0.00138274618966405,"cssV"
"149","N2-ECA554","abamectin","mean.TOF",-4.25970848003043,-11.4131238499737,2.89370688991279,0.412795298081428,"cssV"
"150","N2-ECA573","abamectin","mean.TOF",-14.5361747668403,-21.6895901367836,-7.38275939689711,2.47514545248517e-06,"cssV"
"151","ECA554-CB4856","abamectin","mean.EXT",-41.181939968105,-66.5114002132433,-15.8524797229668,0.00023437401906734,"cssV"
"152","ECA573-CB4856","abamectin","mean.EXT",47.6636117928832,22.3341515477449,72.9930720380214,1.45007624552385e-05,"cssV"
"153","N2-CB4856","abamectin","mean.EXT",-4.3036981347949,-29.778064941157,21.1706686715672,0.9717137600213,"cssV"
"154","ECA573-ECA554","abamectin","mean.EXT",88.8455517609882,63.9780657299546,113.713037792022,7.17204073907851e-14,"cssV"
"155","N2-ECA554","abamectin","mean.EXT",36.8782418333101,11.8631729871387,61.8933106794816,0.0010506455604089,"cssV"
"156","N2-ECA573","abamectin","mean.EXT",-51.9673099276781,-76.9823787738495,-26.9522410815066,1.42570759087413e-06,"cssV"
"157","ECA554-CB4856","abamectin","norm.n",-49.5728874538305,-54.6701166045179,-44.4756583031431,7.23865412055602e-14,"cssV"
"158","ECA573-CB4856","abamectin","norm.n",-18.8049669193791,-23.9307054521068,-13.6792283866514,1.11910480882216e-13,"cssV"
"159","N2-CB4856","abamectin","norm.n",-41.0940370409428,-46.2494734523424,-35.9386006295433,7.23865412055602e-14,"cssV"
"160","ECA573-ECA554","abamectin","norm.n",30.7679205344515,25.7324272377954,35.8034138311075,7.23865412055602e-14,"cssV"
"161","N2-ECA554","abamectin","norm.n",8.4788504128877,3.41313014556518,13.5445706802102,0.000141883779421814,"cssV"
"162","N2-ECA573","abamectin","norm.n",-22.2890701215638,-27.3834761044075,-17.19466413872,8.58202398035246e-14,"cssV"
