"","var","estimate","ci_lower","ci_upper","pval","trait","probe","pheno_marker","eqtl_marker","abs_est"
"176","prop_med",-0.120237814069134,-1.01650813692593,0.330151364304791,0.48,"mean.EXT","A_12_P107335","V_5585423","V_5235073",0.120237814069134
"177","med",0.0050457306030993,-0.104291960576354,0.0694880928992754,0.862,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.0050457306030993
"178","direct",0.46193962489304,0.0678034858743689,0.845562487646831,0.02,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.46193962489304
"179","total",0.466985355496139,0.0833503521129984,0.821146077212759,0.018,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.466985355496139
"180","prop_med",0.0108049011467149,-0.340527652057122,0.228737204495256,0.86,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.0108049011467149
"181","med",0.00279098273802571,-0.150280750152802,0.146624584674795,0.91,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.00279098273802571
"182","direct",0.400502090143268,-0.0243592239053312,0.815847573414739,0.058,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.400502090143268
"183","total",0.403293072881294,-0.0106926979679457,0.809269098639716,0.054,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.403293072881294
"184","prop_med",0.00692048271021808,-0.86707284567391,0.658341843041018,0.892,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.00692048271021808
"185","med",0.0144661091806127,-0.0629116235255445,0.108881153370161,0.714,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.0144661091806127
"186","direct",0.452519246315527,0.0531999132187981,0.891597145341844,0.04,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.452519246315527
"187","total",0.46698535549614,0.0724332788030402,0.887979675169269,0.026,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.46698535549614
"188","prop_med",0.0309776506058599,-0.180732836634907,0.357780648315828,0.728,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.0309776506058599
"189","med",-0.0233530907421162,-0.146197346088757,0.0535239952915622,0.586,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.0233530907421162
"190","direct",0.419851586166987,-0.0128566621425907,0.834578315943133,0.052,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.419851586166987
"191","total",0.396498495424871,-0.0206757093914815,0.815870509881741,0.058,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.396498495424871
"192","prop_med",-0.0588983085978472,-0.692768863078045,0.278678174622283,0.6,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.0588983085978472
"193","med",0.0949969999665548,-0.0853507201129977,0.273011136929535,0.26,"mean.EXT","A_12_P109300","V_5585423","V_5235073",0.0949969999665548
"194","direct",0.348124770175069,-0.105224697632985,0.822039458486582,0.148,"mean.EXT","A_12_P109300","V_5585423","V_5235073",0.348124770175069
"195","total",0.443121770141624,0.0292797734791418,0.854752573364684,0.034,"mean.EXT","A_12_P109300","V_5585423","V_5235073",0.443121770141624
"196","prop_med",0.214381252214698,-0.36551850013732,1.6853940512115,0.294,"mean.EXT","A_12_P109300","V_5585423","V_5235073",0.214381252214698
"197","med",-0.0991584101689429,-0.308286699210172,0.0521039039065948,0.194,"mean.EXT","A_12_P109656","V_5585423","V_6236729",0.0991584101689429
"198","direct",0.566143765665082,0.16782809283696,0.954075352246226,0.008,"mean.EXT","A_12_P109656","V_5585423","V_6236729",0.566143765665082
"199","total",0.46698535549614,0.0736992683896868,0.863241185908725,0.024,"mean.EXT","A_12_P109656","V_5585423","V_6236729",0.46698535549614
"200","prop_med",-0.212337301377672,-1.31178113346715,0.181528598277679,0.218,"mean.EXT","A_12_P109656","V_5585423","V_6236729",0.212337301377672
"201","med",0.00639169402818053,-0.141472981802846,0.147105585644782,0.904,"mean.EXT","A_12_P110930","V_5585423","V_5269261",0.00639169402818053
"202","direct",0.460593661467959,0.0741271805046219,0.846722608126727,0.016,"mean.EXT","A_12_P110930","V_5585423","V_5269261",0.460593661467959
"203","total",0.466985355496139,0.0943098995633978,0.850853465034492,0.016,"mean.EXT","A_12_P110930","V_5585423","V_5269261",0.466985355496139
"204","prop_med",0.0136871401917728,-0.52060147558898,0.453050627484841,0.892,"mean.EXT","A_12_P110930","V_5585423","V_5269261",0.0136871401917728
"205","med",-0.0334355073140778,-0.229564389302754,0.1751063318593,0.712,"mean.EXT","A_12_P110987","V_5585423","V_6236729",0.0334355073140778
"206","direct",0.500420862810217,0.0491006356314928,0.95766010272283,0.026,"mean.EXT","A_12_P110987","V_5585423","V_6236729",0.500420862810217
"207","total",0.46698535549614,0.0650695924089244,0.854637836849037,0.014,"mean.EXT","A_12_P110987","V_5585423","V_6236729",0.46698535549614
"208","prop_med",-0.0715986206431567,-0.999397492136248,0.579897240273736,0.718,"mean.EXT","A_12_P110987","V_5585423","V_6236729",0.0715986206431567
"209","med",0.0857284997385336,-0.0535319053400159,0.27947274350014,0.248,"mean.EXT","A_12_P110997","V_5585423","V_6850366",0.0857284997385336
"210","direct",0.381256855757606,-0.0792674900219329,0.781363651986166,0.096,"mean.EXT","A_12_P110997","V_5585423","V_6850366",0.381256855757606
"211","total",0.46698535549614,0.0621723486600892,0.84327337532156,0.026,"mean.EXT","A_12_P110997","V_5585423","V_6850366",0.46698535549614
"212","prop_med",0.18357856136078,-0.17087781811143,1.16102617106002,0.262,"mean.EXT","A_12_P110997","V_5585423","V_6850366",0.18357856136078
"213","med",0.0623399721831785,-0.0855424328002259,0.233889092073547,0.374,"mean.EXT","A_12_P111099","V_5585423","V_5175241",0.0623399721831785
"214","direct",0.404645383312961,-0.0227412940834935,0.817585225434611,0.068,"mean.EXT","A_12_P111099","V_5585423","V_5175241",0.404645383312961
"215","total",0.466985355496139,0.0649980675663461,0.856882798937126,0.03,"mean.EXT","A_12_P111099","V_5585423","V_5175241",0.466985355496139
"216","prop_med",0.133494490671868,-0.368901824994337,0.950367729318782,0.396,"mean.EXT","A_12_P111099","V_5585423","V_5175241",0.133494490671868
"217","med",0.0384305456262096,-0.0799972945944512,0.119374829703491,0.476,"mean.EXT","A_12_P111556","V_5585423","V_5235073",0.0384305456262096
"218","direct",0.42855480986993,0.0665345711769114,0.874235388036759,0.024,"mean.EXT","A_12_P111556","V_5585423","V_5235073",0.42855480986993
"219","total",0.46698535549614,0.0728722687676968,0.880274325896699,0.02,"mean.EXT","A_12_P111556","V_5585423","V_5235073",0.46698535549614
"220","prop_med",0.0822949695828894,-0.328625443497316,0.377030403238254,0.484,"mean.EXT","A_12_P111556","V_5585423","V_5235073",0.0822949695828894
"221","med",0.0292663441476361,-0.119556043248092,0.215612654651323,0.744,"mean.EXT","A_12_P111560","V_5585423","V_5890644",0.0292663441476361
"222","direct",0.437719011348504,-0.0313332026594701,0.905935763158228,0.074,"mean.EXT","A_12_P111560","V_5585423","V_5890644",0.437719011348504
"223","total",0.46698535549614,0.0489534615059494,0.865283303245768,0.018,"mean.EXT","A_12_P111560","V_5585423","V_5890644",0.46698535549614
"224","prop_med",0.0626707964247457,-0.341591873752061,1.17402637318849,0.758,"mean.EXT","A_12_P111560","V_5585423","V_5890644",0.0626707964247457
"225","med",-0.092329317807296,-0.301649116381827,0.0391720265496095,0.204,"mean.EXT","A_12_P111830","V_5585423","V_7349317",0.092329317807296
"226","direct",0.559314673303435,0.141459493383466,1.01504001806625,0.004,"mean.EXT","A_12_P111830","V_5585423","V_7349317",0.559314673303435
"227","total",0.466985355496139,0.0442923538418752,0.885933264482913,0.022,"mean.EXT","A_12_P111830","V_5585423","V_7349317",0.466985355496139
"228","prop_med",-0.197713518680265,-1.36186504847429,0.110064233209326,0.222,"mean.EXT","A_12_P111830","V_5585423","V_7349317",0.197713518680265
"229","med",0.04934573957564,-0.0479626041430118,0.177838294964651,0.284,"mean.EXT","A_12_P111888","V_5585423","V_5045041",0.04934573957564
"230","direct",0.417639615920499,0.0140336522634379,0.860081164345534,0.04,"mean.EXT","A_12_P111888","V_5585423","V_5045041",0.417639615920499
"231","total",0.466985355496139,0.0724136929274719,0.890548462629417,0.024,"mean.EXT","A_12_P111888","V_5585423","V_5045041",0.466985355496139
"232","prop_med",0.105668708868212,-0.140468565105585,0.66911650825233,0.304,"mean.EXT","A_12_P111888","V_5585423","V_5045041",0.105668708868212
"233","med",-0.0922788736428014,-0.353567939104082,0.0590969330621497,0.24,"mean.EXT","A_12_P112186","V_5585423","V_4889127",0.0922788736428014
"234","direct",0.512044580370329,0.107887573467232,0.963123896858271,0.016,"mean.EXT","A_12_P112186","V_5585423","V_4889127",0.512044580370329
"235","total",0.419765706727528,0.024012196535952,0.820708756437286,0.042,"mean.EXT","A_12_P112186","V_5585423","V_4889127",0.419765706727528
"236","prop_med",-0.219834236489214,-2.12276648099211,0.272283139752136,0.274,"mean.EXT","A_12_P112186","V_5585423","V_4889127",0.219834236489214
"237","med",0.0835129778169441,-0.034979843590667,0.234203583228431,0.194,"mean.EXT","A_12_P112343","V_5585423","V_5175241",0.0835129778169441
"238","direct",0.383472377679195,-0.0279604537803697,0.780562916443948,0.066,"mean.EXT","A_12_P112343","V_5585423","V_5175241",0.383472377679195
"239","total",0.46698535549614,0.0817714991195984,0.856185460631192,0.014,"mean.EXT","A_12_P112343","V_5585423","V_5175241",0.46698535549614
"240","prop_med",0.178834254295228,-0.111095050749975,1.00967208167974,0.204,"mean.EXT","A_12_P112343","V_5585423","V_5175241",0.178834254295228
"241","med",0.0474781216974724,-0.0716540787032441,0.171380030234958,0.346,"mean.EXT","A_12_P112552","V_5585423","V_7335113",0.0474781216974724
"242","direct",0.396366690673689,-0.0119011452834398,0.826432059142361,0.058,"mean.EXT","A_12_P112552","V_5585423","V_7335113",0.396366690673689
"243","total",0.443844812371161,0.0474484365947626,0.859876390018247,0.03,"mean.EXT","A_12_P112552","V_5585423","V_7335113",0.443844812371161
"244","prop_med",0.106970094893819,-0.271206304870043,0.786566454565548,0.352,"mean.EXT","A_12_P112552","V_5585423","V_7335113",0.106970094893819
"245","med",0.0728636754882854,-0.0632265271408664,0.229257055774724,0.306,"mean.EXT","A_12_P112972","V_5585423","V_5261629",0.0728636754882854
"246","direct",0.394121680007854,-0.0358272643275099,0.807522376836824,0.078,"mean.EXT","A_12_P112972","V_5585423","V_5261629",0.394121680007854
"247","total",0.466985355496139,0.04621833423634,0.842219149837651,0.03,"mean.EXT","A_12_P112972","V_5585423","V_5261629",0.466985355496139
"248","prop_med",0.156029893937194,-0.239802473056368,0.968634145752113,0.328,"mean.EXT","A_12_P112972","V_5585423","V_5261629",0.156029893937194
"249","med",0.0590764624533623,-0.139183512596111,0.274215520917296,0.58,"mean.EXT","A_12_P113476","V_5585423","V_5571503",0.0590764624533623
"250","direct",0.451488177345878,0.0183124387317159,0.871398909169672,0.044,"mean.EXT","A_12_P113476","V_5585423","V_5571503",0.451488177345878
"251","total",0.51056463979924,0.116929763247887,0.90073481317857,0.012,"mean.EXT","A_12_P113476","V_5585423","V_5571503",0.51056463979924
"252","prop_med",0.115708096190507,-0.398713815865653,0.787161073589812,0.58,"mean.EXT","A_12_P113476","V_5585423","V_5571503",0.115708096190507
"253","med",0.0604972227365587,-0.111462427586987,0.201961208661596,0.408,"mean.EXT","A_12_P113757","V_5585423","V_5235073",0.0604972227365587
"254","direct",0.406488132759581,-0.0417559373097283,0.901858482419358,0.08,"mean.EXT","A_12_P113757","V_5585423","V_5235073",0.406488132759581
"255","total",0.46698535549614,0.0732271181144989,0.87419796296423,0.022,"mean.EXT","A_12_P113757","V_5585423","V_5235073",0.46698535549614
"256","prop_med",0.129548436636272,-0.272280375957115,1.06523905736696,0.43,"mean.EXT","A_12_P113757","V_5585423","V_5235073",0.129548436636272
"257","med",0.0569226114689765,-0.119568151100746,0.211054603684621,0.46,"mean.EXT","A_12_P113870","V_5585423","V_5175241",0.0569226114689765
"258","direct",0.408358633354098,-0.0152115722375969,0.794692608505191,0.062,"mean.EXT","A_12_P113870","V_5585423","V_5175241",0.408358633354098
"259","total",0.465281244823075,0.0500260445513886,0.836557026479459,0.036,"mean.EXT","A_12_P113870","V_5585423","V_5175241",0.465281244823075
"260","prop_med",0.122340223471981,-0.522272028289927,0.759419647355198,0.472,"mean.EXT","A_12_P113870","V_5585423","V_5175241",0.122340223471981
"261","med",0.0390864610052906,-0.0644795867196367,0.198100482609828,0.484,"mean.EXT","A_12_P114276","V_5585423","V_9529886",0.0390864610052906
"262","direct",0.427898894490849,0.0308499410060868,0.782689807274505,0.038,"mean.EXT","A_12_P114276","V_5585423","V_9529886",0.427898894490849
"263","total",0.466985355496139,0.0638108721222036,0.849752448542387,0.024,"mean.EXT","A_12_P114276","V_5585423","V_9529886",0.466985355496139
"264","prop_med",0.0836995433481292,-0.278883013146585,0.62992784351075,0.48,"mean.EXT","A_12_P114276","V_5585423","V_9529886",0.0836995433481292
"265","med",0.0369565023420561,-0.0720839048706503,0.168116890130912,0.486,"mean.EXT","A_12_P114826","V_5585423","V_5045041",0.0369565023420561
"266","direct",0.430028853154084,-0.00629887120476712,0.870570428212047,0.058,"mean.EXT","A_12_P114826","V_5585423","V_5045041",0.430028853154084
"267","total",0.46698535549614,0.0615721429159599,0.877325045307375,0.028,"mean.EXT","A_12_P114826","V_5585423","V_5045041",0.46698535549614
"268","prop_med",0.079138460996903,-0.213542415753875,0.751194519034892,0.51,"mean.EXT","A_12_P114826","V_5585423","V_5045041",0.079138460996903
"269","med",0.288654052831968,-0.0737309741913974,0.626559279452982,0.102,"mean.EXT","A_12_P114938","V_5585423","V_5856208",0.288654052831968
"270","direct",0.114931802744951,-0.310919362613745,0.646985523884454,0.61,"mean.EXT","A_12_P114938","V_5585423","V_5856208",0.114931802744951
"271","total",0.403585855576919,0.0211964653172135,0.838430805404904,0.04,"mean.EXT","A_12_P114938","V_5585423","V_5856208",0.403585855576919
"272","prop_med",0.715223412424457,-0.615845636370384,3.51786200078675,0.138,"mean.EXT","A_12_P114938","V_5585423","V_5856208",0.715223412424457
"273","med",-0.0530280362742507,-0.158297023734661,0.0138823402726761,0.154,"mean.EXT","A_12_P115471","V_5585423","V_5885954",0.0530280362742507
"274","direct",0.494782300917776,0.0956743035024824,0.910799523695679,0.014,"mean.EXT","A_12_P115471","V_5585423","V_5885954",0.494782300917776
"275","total",0.441754264643526,0.0543970644275602,0.857000480919422,0.032,"mean.EXT","A_12_P115471","V_5585423","V_5885954",0.441754264643526
"276","prop_med",-0.120039670283753,-0.76980624908404,0.072367959800336,0.186,"mean.EXT","A_12_P115471","V_5585423","V_5885954",0.120039670283753
"277","med",0.0689302352702898,-0.0664886924164148,0.248361171136313,0.332,"mean.EXT","A_12_P115620","V_5585423","V_5175241",0.0689302352702898
"278","direct",0.39805512022585,-0.0329093995155005,0.81577172966494,0.08,"mean.EXT","A_12_P115620","V_5585423","V_5175241",0.39805512022585
"279","total",0.46698535549614,0.0762984436995614,0.858136386138199,0.018,"mean.EXT","A_12_P115620","V_5585423","V_5175241",0.46698535549614
"280","prop_med",0.147606845608801,-0.176500441916075,1.09820644385526,0.342,"mean.EXT","A_12_P115620","V_5585423","V_5175241",0.147606845608801
"281","med",0.183467260725364,-0.208924470326963,0.530308090140309,0.286,"mean.EXT","A_12_P115797","V_5585423","V_6526389",0.183467260725364
"282","direct",0.283518094770776,-0.257579400496525,0.7631253793347,0.278,"mean.EXT","A_12_P115797","V_5585423","V_6526389",0.283518094770776
"283","total",0.46698535549614,0.072311950583315,0.866855811832072,0.024,"mean.EXT","A_12_P115797","V_5585423","V_6526389",0.46698535549614
"284","prop_med",0.392875833398336,-0.752287092791107,2.58312153261797,0.302,"mean.EXT","A_12_P115797","V_5585423","V_6526389",0.392875833398336
"285","med",0.0277797055014903,-0.0846501350447135,0.158200260468055,0.588,"mean.EXT","A_12_P117520","V_5585423","V_5175241",0.0277797055014903
"286","direct",0.439205649994649,0.0256851677390705,0.865816686932138,0.036,"mean.EXT","A_12_P117520","V_5585423","V_5175241",0.439205649994649
"287","total",0.46698535549614,0.0690670496007237,0.870537015823341,0.014,"mean.EXT","A_12_P117520","V_5585423","V_5175241",0.46698535549614
"288","prop_med",0.0594873161964069,-0.266239572311793,0.663259405736498,0.602,"mean.EXT","A_12_P117520","V_5585423","V_5175241",0.0594873161964069
"289","med",-0.00877000356251516,-0.127353967518452,0.0819042046290467,0.818,"mean.EXT","A_12_P117826","V_5585423","V_5030874",0.00877000356251516
"290","direct",0.475755359058655,0.0780525197960745,0.893157262011329,0.016,"mean.EXT","A_12_P117826","V_5585423","V_5030874",0.475755359058655
"291","total",0.46698535549614,0.0693034621333718,0.864675334263312,0.02,"mean.EXT","A_12_P117826","V_5585423","V_5030874",0.46698535549614
"292","prop_med",-0.0187800398006007,-0.410180611498845,0.2748222310919,0.83,"mean.EXT","A_12_P117826","V_5585423","V_5030874",0.0187800398006007
"293","med",-0.057467816644554,-0.212036815140517,0.0880670257186145,0.426,"mean.EXT","A_12_P118561","V_5585423","V_6236729",0.057467816644554
"294","direct",0.524453172140693,0.104032134310516,0.932865693191291,0.014,"mean.EXT","A_12_P118561","V_5585423","V_6236729",0.524453172140693
"295","total",0.466985355496139,0.0830988683035628,0.851679875646595,0.022,"mean.EXT","A_12_P118561","V_5585423","V_6236729",0.466985355496139
"296","prop_med",-0.123061282261193,-0.923141223062871,0.265591474488847,0.432,"mean.EXT","A_12_P118561","V_5585423","V_6236729",0.123061282261193
"297","med",0.0158164219757842,-0.114010216182768,0.123790209649171,0.714,"mean.EXT","A_12_P118936","V_5585423","V_6526389",0.0158164219757842
"298","direct",0.42632427972231,0.0493640671698148,0.838445656822923,0.038,"mean.EXT","A_12_P118936","V_5585423","V_6526389",0.42632427972231
"299","total",0.442140701698094,0.0523006117592763,0.845698723589718,0.028,"mean.EXT","A_12_P118936","V_5585423","V_6526389",0.442140701698094
"300","prop_med",0.0357723727199041,-0.440239024896046,0.40336546934929,0.71,"mean.EXT","A_12_P118936","V_5585423","V_6526389",0.0357723727199041
"301","med",0.0444178784356605,-0.0280924078616901,0.201763527496552,0.24,"mean.EXT","A_12_P119764","V_5585423","V_5722437",0.0444178784356605
"302","direct",0.422567477060479,-0.00162337996329479,0.835957551384009,0.052,"mean.EXT","A_12_P119764","V_5585423","V_5722437",0.422567477060479
"303","total",0.46698535549614,0.0679325866296638,0.858689357783783,0.018,"mean.EXT","A_12_P119764","V_5585423","V_5722437",0.46698535549614
"304","prop_med",0.0951162127738879,-0.0805281920977007,0.877189475737037,0.258,"mean.EXT","A_12_P119764","V_5585423","V_5722437",0.0951162127738879
"305","med",0.0306085724424774,-0.13021631822701,0.198291998812465,0.686,"mean.EXT","A_12_P120051","V_5585423","V_7625993",0.0306085724424774
"306","direct",0.411532129255616,0.0166205169309315,0.830397954484425,0.04,"mean.EXT","A_12_P120051","V_5585423","V_7625993",0.411532129255616
"307","total",0.442140701698094,0.00909939244556238,0.859242251878428,0.042,"mean.EXT","A_12_P120051","V_5585423","V_7625993",0.442140701698094
"308","prop_med",0.069228126532847,-0.566596897137853,0.751697959398353,0.668,"mean.EXT","A_12_P120051","V_5585423","V_7625993",0.069228126532847
"309","med",-1.90947501027503e-05,-0.0516012923274041,0.0191550834752397,0.676,"mean.EXT","A_12_P100522","V_5585423","V_5030874",1.90947501027503e-05
"310","direct",0.442159796448197,0.0576716927635718,0.824731657346963,0.022,"mean.EXT","A_12_P100522","V_5585423","V_5030874",0.442159796448197
"311","total",0.442140701698095,0.0484541769777454,0.822891265138216,0.032,"mean.EXT","A_12_P100522","V_5585423","V_5030874",0.442140701698095
"312","prop_med",-4.31870443716551e-05,-0.179502812477291,0.073372126805598,0.692,"mean.EXT","A_12_P100522","V_5585423","V_5030874",4.31870443716551e-05
"313","med",-0.0443424691288165,-0.156634109339993,0.0228990231226959,0.252,"mean.EXT","A_12_P101732","V_5585423","V_5269261",0.0443424691288165
"314","direct",0.511327824624956,0.146218883034791,0.914345801754356,0.01,"mean.EXT","A_12_P101732","V_5585423","V_5269261",0.511327824624956
"315","total",0.46698535549614,0.0921884342018536,0.882132680577208,0.02,"mean.EXT","A_12_P101732","V_5585423","V_5269261",0.46698535549614
"316","prop_med",-0.0949547316782678,-0.824137299862443,0.0591414863233454,0.272,"mean.EXT","A_12_P101732","V_5585423","V_5269261",0.0949547316782678
"317","med",-0.00242652176470681,-0.0721232833331393,0.0300648828648125,0.806,"mean.EXT","A_12_P108069","V_5585423","V_6236729",0.00242652176470681
"318","direct",0.374906227281881,-0.00909670474800604,0.765664326905079,0.056,"mean.EXT","A_12_P108069","V_5585423","V_6236729",0.374906227281881
"319","total",0.372479705517174,-0.00627878709859614,0.737323483821794,0.06,"mean.EXT","A_12_P108069","V_5585423","V_6236729",0.372479705517174
"320","prop_med",-0.00651450731077461,-0.322096622819599,0.210972561599684,0.81,"mean.EXT","A_12_P108069","V_5585423","V_6236729",0.00651450731077461
"321","med",-0.0220269734554302,-0.092218299406802,0.0414801114563464,0.484,"mean.EXT","A_12_P109158","V_5585423","V_5237566",0.0220269734554302
"322","direct",0.489012328951569,0.0759461871436396,0.883365059682118,0.018,"mean.EXT","A_12_P109158","V_5585423","V_5237566",0.489012328951569
"323","total",0.466985355496139,0.0575058334460319,0.860357909633164,0.02,"mean.EXT","A_12_P109158","V_5585423","V_5237566",0.466985355496139
"324","prop_med",-0.0471684458542134,-0.379515021077849,0.113030391680118,0.488,"mean.EXT","A_12_P109158","V_5585423","V_5237566",0.0471684458542134
"325","med",0.0235292247199416,-0.0390037107119648,0.119780276516888,0.478,"mean.EXT","A_12_P110005","V_5585423","V_5237566",0.0235292247199416
"326","direct",0.443456130776198,0.0121662846482725,0.829233857159928,0.044,"mean.EXT","A_12_P110005","V_5585423","V_5237566",0.443456130776198
"327","total",0.46698535549614,0.0605597498098796,0.835067694392389,0.036,"mean.EXT","A_12_P110005","V_5585423","V_5237566",0.46698535549614
"328","prop_med",0.0503853588619356,-0.147673380359824,0.540585962372951,0.49,"mean.EXT","A_12_P110005","V_5585423","V_5237566",0.0503853588619356
"329","med",-0.0306945796340963,-0.150571552242545,0.0216828130265886,0.422,"mean.EXT","A_12_P110424","V_5585423","V_5571503",0.0306945796340963
"330","direct",0.373486756662615,-0.0594065308466852,0.84203427956864,0.096,"mean.EXT","A_12_P110424","V_5585423","V_5571503",0.373486756662615
"331","total",0.342792177028519,-0.0770717480886372,0.810084220133049,0.13,"mean.EXT","A_12_P110424","V_5585423","V_5571503",0.342792177028519
"332","prop_med",-0.089542824168775,-1.01188959275882,0.432683931522019,0.516,"mean.EXT","A_12_P110424","V_5585423","V_5571503",0.089542824168775
"333","med",-0.029507463629341,-0.10814553597377,0.0309186988640206,0.354,"mean.EXT","A_12_P110676","V_5585423","V_5722437",0.029507463629341
"334","direct",0.496492819125481,0.0881151422063944,0.884468685569983,0.014,"mean.EXT","A_12_P110676","V_5585423","V_5722437",0.496492819125481
"335","total",0.46698535549614,0.0562418751192261,0.859402071729098,0.024,"mean.EXT","A_12_P110676","V_5585423","V_5722437",0.46698535549614
"336","prop_med",-0.0631871284228847,-0.395702655598297,0.12705035157651,0.374,"mean.EXT","A_12_P110676","V_5585423","V_5722437",0.0631871284228847
"337","med",-0.008519475411,-0.0823276025201993,0.0206980704300433,0.614,"mean.EXT","A_12_P113576","V_5585423","V_5097086",0.008519475411
"338","direct",0.47550483090714,0.104486874501808,0.865007866886545,0.018,"mean.EXT","A_12_P113576","V_5585423","V_5097086",0.47550483090714
"339","total",0.46698535549614,0.10005907897305,0.862056365734022,0.022,"mean.EXT","A_12_P113576","V_5585423","V_5097086",0.46698535549614
"340","prop_med",-0.0182435601260957,-0.190819050978714,0.0835270266917951,0.62,"mean.EXT","A_12_P113576","V_5585423","V_5097086",0.0182435601260957
"341","med",0.053397729730163,-0.0159105322341609,0.1979251243374,0.186,"mean.EXT","A_12_P103581","V_5585423","V_5030874",0.053397729730163
"342","direct",0.351892236519822,-0.0982434152707115,0.733282892138,0.122,"mean.EXT","A_12_P103581","V_5585423","V_5030874",0.351892236519822
"343","total",0.405289966249985,-0.038801944949549,0.784525190669548,0.074,"mean.EXT","A_12_P103581","V_5585423","V_5030874",0.405289966249985
"344","prop_med",0.131751916348275,-0.571159761002392,0.95527259781833,0.26,"mean.EXT","A_12_P103581","V_5585423","V_5030874",0.131751916348275
"345","med",-0.0173646351743523,-0.0859508016255296,0.0484364766108461,0.568,"mean.EXT","A_12_P112681","V_5585423","V_5269261",0.0173646351743523
"346","direct",0.606171499653332,0.194804412461323,1.01620941194446,0.004,"mean.EXT","A_12_P112681","V_5585423","V_5269261",0.606171499653332
"347","total",0.588806864478979,0.181267612108623,1.00452059103293,0.006,"mean.EXT","A_12_P112681","V_5585423","V_5269261",0.588806864478979
"348","prop_med",-0.0294912240700825,-0.220247564869536,0.0863103266887053,0.566,"mean.EXT","A_12_P112681","V_5585423","V_5269261",0.0294912240700825
